match_group,event_id,model
M01,F003,ridge
M01,M01,ridge
M02,M02,ridge
M03,M03,ridge
M04,M04,ridge
M05,M05,ridge
M06,M06,ridge
M07,M07,ridge
M04,F011,ridge
M09,F026,ridge
M03,F008,ridge
M09,F025,ridge
M09,F027,ridge
M08,M08,ridge
M06,F018,ridge
M06,F016,ridge
M06,F017,ridge
M12,F035,ridge
M12,F036,ridge
M04,F012,ridge
M07,F020,ridge
M13,F039,ridge
M13,F038,ridge
M07,F019,ridge
M15,F044,ridge
M15,F043,ridge
M11,F031,ridge
M03,F007,ridge
M04,F010,ridge
M09,M09,ridge
M10,M10,ridge
M11,M11,ridge
M12,M12,ridge
M13,M13,ridge
M14,M14,ridge
M15,M15,ridge
M14,F040,ridge
M10,F028,ridge
M02,F006,ridge
M02,F005,ridge
M10,F029,ridge
M02,F004,ridge
M12,F034,ridge
M08,F023,ridge
M08,F024,ridge
M11,F032,ridge
M15,F045,ridge
M05,F014,ridge
M05,F013,ridge
M08,F022,ridge
M07,F021,ridge
M13,F037,ridge
M05,F015,ridge
M14,F042,lasso
M14,F041,lasso
M10,F030,lasso
M11,F033,lasso
M03,F009,lasso
M01,F002,lasso
M01,F001,lasso
M01,F003,lasso
M01,M01,lasso
M02,M02,lasso
M03,M03,lasso
M04,M04,lasso
M05,M05,lasso
M06,M06,lasso
M07,M07,lasso
M04,F011,lasso
M09,F026,lasso
M03,F008,lasso
M09,F025,lasso
M09,F027,lasso
M08,M08,lasso
M06,F018,lasso
M06,F016,lasso
M06,F017,lasso
M12,F035,lasso
M12,F036,lasso
M04,F012,lasso
M07,F020,lasso
M13,F039,lasso
M13,F038,lasso
M07,F019,lasso
M15,F044,lasso
M15,F043,lasso
M11,F031,lasso
M03,F007,lasso
M04,F010,lasso
M09,M09,lasso
M10,M10,lasso
M11,M11,lasso
M12,M12,lasso
M13,M13,lasso
M14,M14,lasso
M15,M15,lasso
M14,F040,lasso
M10,F028,lasso
M02,F006,lasso
M02,F005,lasso
M10,F029,lasso
M02,F004,lasso
M12,F034,lasso
M08,F023,lasso
M08,F024,lasso
M11,F032,lasso
M15,F045,lasso
M05,F014,lasso
M05,F013,lasso
M08,F022,lasso
M07,F021,lasso
M13,F037,lasso
M05,F015,lasso
M14,F042,huber
M14,F041,huber
M10,F030,huber
M11,F033,huber
M03,F009,huber
M01,F002,huber
M01,F001,huber
M01,F003,huber
M01,M01,huber
M02,M02,huber
M03,M03,huber
M04,M04,huber
M05,M05,huber
M06,M06,huber
M07,M07,huber
M04,F011,huber
M09,F026,huber
M03,F008,huber
M09,F025,huber
M09,F027,huber
M08,M08,huber
M06,F018,huber
M06,F016,huber
M06,F017,huber
M12,F035,huber
M12,F036,huber
M04,F012,huber
M07,F020,huber
M13,F039,huber
M13,F038,huber
M07,F019,huber
M15,F044,huber
M15,F043,huber
M11,F031,huber
M03,F007,huber
M04,F010,huber
M09,M09,huber
M10,M10,huber
M11,M11,huber
M12,M12,huber
M13,M13,huber
M14,M14,huber
M15,M15,huber
M14,F040,huber
M10,F028,huber
M02,F006,huber
M02,F005,huber
M10,F029,huber
M02,F004,huber
M12,F034,huber
M08,F023,huber
M08,F024,huber
M11,F032,huber
M15,F045,huber
M05,F014,huber
M05,F013,huber
M08,F022,huber
M07,F021,huber
M13,F037,huber
M05,F015,huber
M14,F042,forest
M14,F041,forest
M10,F030,forest
M11,F033,forest
M03,F009,forest
M01,F002,forest
M01,F001,forest
M01,F003,forest
M01,M01,forest
M02,M02,forest
M03,M03,forest
M04,M04,forest
M05,M05,forest
M06,M06,forest
M07,M07,forest
M04,F011,forest
M09,F026,forest
M03,F008,forest
M09,F025,forest
M09,F027,forest
M08,M08,forest
M06,F018,forest
M06,F016,forest
M06,F017,forest
M12,F035,forest
M12,F036,forest
M04,F012,forest
M07,F020,forest
M13,F039,forest
M13,F038,forest
M07,F019,forest
M15,F044,forest
M15,F043,forest
M11,F031,forest
M03,F007,forest
M04,F010,forest
M09,M09,forest
M10,M10,forest
M11,M11,forest
M12,M12,forest
M13,M13,forest
M14,M14,forest
M15,M15,forest
M14,F040,forest
M10,F028,forest
M02,F006,forest
M02,F005,forest
M10,F029,forest
M02,F004,forest
M12,F034,forest
M08,F023,forest
M08,F024,forest
M11,F032,forest
M15,F045,forest
M05,F014,forest
M05,F013,forest
M08,F022,forest
M07,F021,forest
M13,F037,forest
M05,F015,forest
M14,F042,pre_net_return_only
M14,F041,pre_net_return_only
M10,F030,pre_net_return_only
M11,F033,pre_net_return_only
M03,F009,pre_net_return_only
M01,F002,pre_net_return_only
M01,F001,pre_net_return_only
M01,F003,pre_net_return_only
M01,M01,pre_net_return_only
M02,M02,pre_net_return_only
M03,M03,pre_net_return_only
M04,M04,pre_net_return_only
M05,M05,pre_net_return_only
M06,M06,pre_net_return_only
M07,M07,pre_net_return_only
M04,F011,pre_net_return_only
M09,F026,pre_net_return_only
M03,F008,pre_net_return_only
M09,F025,pre_net_return_only
M09,F027,pre_net_return_only
M08,M08,pre_net_return_only
M06,F018,pre_net_return_only
M06,F016,pre_net_return_only
M06,F017,pre_net_return_only
M12,F035,pre_net_return_only
M12,F036,pre_net_return_only
M04,F012,pre_net_return_only
M07,F020,pre_net_return_only
M13,F039,pre_net_return_only
M13,F038,pre_net_return_only
M07,F019,pre_net_return_only
M15,F044,pre_net_return_only
M15,F043,pre_net_return_only
M11,F031,pre_net_return_only
M03,F007,pre_net_return_only
M04,F010,pre_net_return_only
M09,M09,pre_net_return_only
M10,M10,pre_net_return_only
M11,M11,pre_net_return_only
M12,M12,pre_net_return_only
M13,M13,pre_net_return_only
M14,M14,pre_net_return_only
M15,M15,pre_net_return_only
M14,F040,pre_net_return_only
M10,F028,pre_net_return_only
M02,F006,pre_net_return_only
M02,F005,pre_net_return_only
M10,F029,pre_net_return_only
M02,F004,pre_net_return_only
M12,F034,pre_net_return_only
M08,F023,pre_net_return_only
M08,F024,pre_net_return_only
M11,F032,pre_net_return_only
M15,F045,pre_net_return_only
M05,F014,pre_net_return_only
M05,F013,pre_net_return_only
M08,F022,pre_net_return_only
M07,F021,pre_net_return_only
M13,F037,pre_net_return_only
M05,F015,pre_net_return_only
M14,F042,volatility_only
M14,F041,volatility_only
M10,F030,volatility_only
M11,F033,volatility_only
M03,F009,volatility_only
M01,F002,volatility_only
M01,F001,volatility_only
M01,F003,volatility_only
M01,M01,volatility_only
M02,M02,volatility_only
M03,M03,volatility_only
M04,M04,volatility_only
M05,M05,volatility_only
M06,M06,volatility_only
M07,M07,volatility_only
M04,F011,volatility_only
M09,F026,volatility_only
M03,F008,volatility_only
M09,F025,volatility_only
M09,F027,volatility_only
M08,M08,volatility_only
M06,F018,volatility_only
M06,F016,volatility_only
M06,F017,volatility_only
M12,F035,volatility_only
M12,F036,volatility_only
M04,F012,volatility_only
M07,F020,volatility_only
M13,F039,volatility_only
M13,F038,volatility_only
M07,F019,volatility_only
M15,F044,volatility_only
M15,F043,volatility_only
M11,F031,volatility_only
M03,F007,volatility_only
M04,F010,volatility_only
M09,M09,volatility_only
M10,M10,volatility_only
M11,M11,volatility_only
M12,M12,volatility_only
M13,M13,volatility_only
M14,M14,volatility_only
M15,M15,volatility_only
M14,F040,volatility_only
M10,F028,volatility_only
M02,F006,volatility_only
M02,F005,volatility_only
M10,F029,volatility_only
M02,F004,volatility_only
M12,F034,volatility_only
M08,F023,volatility_only
M08,F024,volatility_only
M11,F032,volatility_only
M15,F045,volatility_only
M05,F014,volatility_only
M05,F013,volatility_only
M08,F022,volatility_only
M07,F021,volatility_only
M13,F037,volatility_only
M05,F015,volatility_only
M14,F042,last5_only
M14,F041,last5_only
M10,F030,last5_only
M11,F033,last5_only
M03,F009,last5_only
M01,F002,last5_only
M01,F001,last5_only
M01,F003,last5_only
M01,M01,last5_only
M02,M02,last5_only
M03,M03,last5_only
M04,M04,last5_only
M05,M05,last5_only
M06,M06,last5_only
M07,M07,last5_only
M04,F011,last5_only
M09,F026,last5_only
M03,F008,last5_only
M09,F025,last5_only
M09,F027,last5_only
M08,M08,last5_only
M06,F018,last5_only
M06,F016,last5_only
M06,F017,last5_only
M12,F035,last5_only
M12,F036,last5_only
M04,F012,last5_only
M07,F020,last5_only
M13,F039,last5_only
M13,F038,last5_only
M07,F019,last5_only
M15,F044,last5_only
M15,F043,last5_only
M11,F031,last5_only
M03,F007,last5_only
M04,F010,last5_only
M09,M09,last5_only
M10,M10,last5_only
M11,M11,last5_only
M12,M12,last5_only
M13,M13,last5_only
M14,M14,last5_only
M15,M15,last5_only
M14,F040,last5_only
M10,F028,last5_only
M02,F006,last5_only
M02,F005,last5_only
M10,F029,last5_only
M02,F004,last5_only
M12,F034,last5_only
M08,F023,last5_only
M08,F024,last5_only
M11,F032,last5_only
M15,F045,last5_only
M05,F014,last5_only
M05,F013,last5_only
M08,F022,last5_only
M07,F021,last5_only
M13,F037,last5_only
M05,F015,last5_only
