case_id,start_time,end_time,direction,status,duration_bars,net_return_pct,body_vs_prev10,close_position_in_range,continuation_2of3,why_assigned,first_3_5_bars,last_3_5_bars,main_difference_from_prototype
23,2023-12-15 00:00,2023-12-15 20:00,DOWN,questionable,6,-6.618,0.3478,0.1658,True,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,DOWN,UP,DOWN,DOWN; тела по отношению к prev10 0.35x,0.57x,0.87x,1.81x,0.91x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 1.35%; явного ускорения нет","5 bars: тела DOWN,UP,DOWN,DOWN,DOWN; тела по отношению к prev10 0.57x,0.87x,1.81x,0.91x,1.94x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 1.35%; замедление есть",размер стартового тела отличается: 0.35x против 1.27x у прототипа; после окончания окна другое поведение: есть/нет продолжение
24,2023-11-08 04:00,2023-11-09 08:00,UP,questionable,8,5.4085,0.2551,0.6197,False,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,DOWN,DOWN,UP,UP; тела по отношению к prev10 0.26x,0.13x,0.02x,0.50x,0.14x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.22%; явного ускорения нет","5 bars: тела UP,UP,UP,UP,UP; тела по отношению к prev10 0.50x,0.14x,2.46x,0.03x,2.72x; закрытия: 4 шаг(а) по направлению и 0 против; тел по направлению 5, встречных тел 0; макс. встречный close-step 0.00%; замедление есть","у прототипа есть 2/3 продолжения после старта, здесь нет; закрытие стартовой свечи хуже привязано к направленному краю; размер стартового тела отличается: 0.26x против 1.27x у прототипа; после окончания окна другое поведение: есть/нет продолжение"
25,2023-09-30 16:00,2023-10-01 20:00,UP,questionable,8,5.1444,0.4737,0.5833,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,UP,UP,UP; тела по отношению к prev10 0.47x,0.05x,0.89x,0.17x,4.62x; закрытия: 4 шаг(а) по направлению и 0 против; тел по направлению 5, встречных тел 0; макс. встречный close-step 0.00%; ускорение есть","5 bars: тела UP,UP,DOWN,DOWN,UP; тела по отношению к prev10 0.17x,4.62x,1.36x,0.06x,3.88x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.76%; замедление есть",закрытие стартовой свечи хуже привязано к направленному краю; размер стартового тела отличается: 0.47x против 1.27x у прототипа; после окончания окна другое поведение: есть/нет продолжение
26,2023-11-26 08:00,2023-11-27 12:00,DOWN,questionable,8,-5.1353,1.1635,0.2083,True,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,DOWN,DOWN,UP,DOWN; тела по отношению к prev10 1.16x,1.80x,0.46x,0.85x,1.06x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.70%; явного ускорения нет","5 bars: тела UP,DOWN,DOWN,DOWN,DOWN; тела по отношению к prev10 0.85x,1.06x,0.23x,1.09x,1.94x; закрытия: 4 шаг(а) по направлению и 0 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.00%; явного замедления нет",после окончания окна другое поведение: есть/нет продолжение
29,2023-08-02 00:00,2023-08-03 04:00,DOWN,confirmed,8,-4.834,1.3778,0.0,True,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,DOWN,UP,DOWN,DOWN; тела по отношению к prev10 1.38x,0.69x,0.96x,2.07x,0.37x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.75%; явного ускорения нет","5 bars: тела DOWN,DOWN,DOWN,UP,DOWN; тела по отношению к prev10 2.07x,0.37x,1.16x,0.09x,1.87x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.07%; замедление есть",отличие только в масштабе движения и календарном контексте
32,2023-07-17 04:00,2023-07-18 08:00,DOWN,questionable,8,-4.5898,0.5747,0.2,True,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,DOWN,UP,DOWN,UP; тела по отношению к prev10 0.57x,1.99x,0.57x,1.13x,0.70x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.58%; явного ускорения нет","5 bars: тела DOWN,UP,DOWN,DOWN,DOWN; тела по отношению к prev10 1.13x,0.70x,0.82x,1.21x,0.93x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.58%; замедление есть",после окончания окна другое поведение: есть/нет продолжение
33,2023-07-04 12:00,2023-07-05 12:00,DOWN,questionable,7,-4.7876,1.3942,0.3191,False,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,DOWN,UP,UP,UP; тела по отношению к prev10 1.39x,0.90x,0.15x,0.98x,0.49x; закрытия: 1 шаг(а) по направлению и 3 против; тел по направлению 2, встречных тел 3; макс. встречный close-step 0.65%; явного ускорения нет","5 bars: тела UP,UP,UP,DOWN,DOWN; тела по отношению к prev10 0.15x,0.98x,0.49x,4.33x,1.28x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 2, встречных тел 3; макс. встречный close-step 0.65%; замедление есть","у прототипа есть 2/3 продолжения после старта, здесь нет; закрытие стартовой свечи хуже привязано к направленному краю; последняя свеча окна хуже совпадает с направленным краем"
38,2023-07-23 08:00,2023-07-24 12:00,DOWN,questionable,8,-4.2418,0.9091,0.1034,False,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,DOWN,UP,UP,DOWN; тела по отношению к prev10 0.91x,0.06x,1.17x,0.48x,3.10x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.57%; ускорение есть","5 bars: тела UP,DOWN,UP,DOWN,DOWN; тела по отношению к prev10 0.48x,3.10x,1.47x,3.91x,1.29x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.99%; замедление есть","у прототипа есть 2/3 продолжения после старта, здесь нет; последняя свеча окна хуже совпадает с направленным краем"
42,2023-09-28 08:00,2023-09-29 12:00,UP,questionable,8,4.0425,1.4035,0.7143,False,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,DOWN,DOWN,UP; тела по отношению к prev10 1.40x,2.19x,0.20x,0.07x,1.09x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.12%; явного ускорения нет","5 bars: тела DOWN,UP,UP,DOWN,UP; тела по отношению к prev10 0.07x,1.09x,1.29x,0.75x,3.21x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.32%; явного замедления нет","у прототипа есть 2/3 продолжения после старта, здесь нет; после окончания окна другое поведение: есть/нет продолжение"
43,2023-08-29 20:00,2023-08-31 00:00,DOWN,questionable,8,-4.0276,0.9936,0.2069,True,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,DOWN,DOWN,DOWN,DOWN; тела по отношению к prev10 0.99x,1.65x,0.34x,0.41x,0.45x; закрытия: 4 шаг(а) по направлению и 0 против; тел по направлению 5, встречных тел 0; макс. встречный close-step 0.00%; явного ускорения нет","5 bars: тела DOWN,DOWN,UP,UP,DOWN; тела по отношению к prev10 0.41x,0.45x,0.32x,0.42x,0.22x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.53%; замедление есть",последняя свеча окна хуже совпадает с направленным краем
44,2023-10-27 08:00,2023-10-28 00:00,UP,questionable,5,5.0372,0.8373,0.7255,False,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,DOWN,DOWN,UP; тела по отношению к prev10 0.84x,1.67x,0.52x,0.03x,2.15x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.79%; ускорение есть","5 bars: тела UP,UP,DOWN,DOWN,UP; тела по отношению к prev10 0.84x,1.67x,0.52x,0.03x,2.15x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.79%; явного замедления нет","у прототипа есть 2/3 продолжения после старта, здесь нет"
49,2023-07-07 08:00,2023-07-08 12:00,UP,questionable,8,3.4372,1.1392,0.7451,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,DOWN,UP,DOWN; тела по отношению к prev10 1.14x,0.68x,0.37x,0.56x,0.56x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.49%; явного ускорения нет","5 bars: тела UP,DOWN,UP,UP,UP; тела по отношению к prev10 0.56x,0.56x,0.61x,0.58x,1.38x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.49%; явного замедления нет",после окончания окна другое поведение: есть/нет продолжение
