section_id,event_type,event_open_time,event_close_time,event_sequence_number,related_core_trigger_id,details
LC002,CORE_TRIGGER,2023-11-18 12:00:00,2023-11-18 15:59:59.999,24,CORE021,PW027
LC002,RESOLUTION_CANDIDATE,2023-11-19 12:00:00,2023-11-19 15:59:59.999,25,,RECOVERED_LONG
LC002,DISPUTE_END,2023-11-19 20:00:00,2023-11-19 23:59:59.999,26,,RECOVERED_LONG
LC003,LAST_ALIGNED_RUN_START,2023-11-19 12:00:00,2023-11-19 15:59:59.999,1,,
LC003,LAST_ALIGNED_RUN_END,2023-11-21 00:00:00,2023-11-21 03:59:59.999,2,,
LC003,DISPUTE_START,2023-11-21 04:00:00,2023-11-21 07:59:59.999,3,,
LC003,CORE_TRIGGER,2023-11-21 12:00:00,2023-11-21 15:59:59.999,4,CORE001,PW028
LC003,CORE_TRIGGER,2023-11-21 16:00:00,2023-11-21 19:59:59.999,5,CORE002,PW029
LC003,CORE_TRIGGER,2023-11-21 20:00:00,2023-11-21 23:59:59.999,6,CORE003,PW030
LC003,CORE_TRIGGER,2023-11-22 00:00:00,2023-11-22 03:59:59.999,7,CORE004,PW031
LC003,CORE_TRIGGER,2023-11-22 04:00:00,2023-11-22 07:59:59.999,8,CORE005,PW032
LC003,CORE_TRIGGER,2023-11-22 08:00:00,2023-11-22 11:59:59.999,9,CORE006,PW033
LC003,CORE_TRIGGER,2023-11-22 12:00:00,2023-11-22 15:59:59.999,10,CORE007,PW034
LC003,RESOLUTION_CANDIDATE,2023-11-22 20:00:00,2023-11-22 23:59:59.999,11,,RECOVERED_LONG
LC003,DISPUTE_END,2023-11-23 08:00:00,2023-11-23 11:59:59.999,12,,RECOVERED_LONG
LC004,LAST_ALIGNED_RUN_START,2023-11-25 12:00:00,2023-11-25 15:59:59.999,1,,
LC004,LAST_ALIGNED_RUN_END,2023-11-26 04:00:00,2023-11-26 07:59:59.999,2,,
LC004,DISPUTE_START,2023-11-26 08:00:00,2023-11-26 11:59:59.999,3,,
LC004,CORE_TRIGGER,2023-11-26 16:00:00,2023-11-26 19:59:59.999,4,CORE001,PW035
LC004,CORE_TRIGGER,2023-11-27 00:00:00,2023-11-27 03:59:59.999,5,CORE002,PW036
LC004,CORE_TRIGGER,2023-11-27 04:00:00,2023-11-27 07:59:59.999,6,CORE003,PW037
LC004,CORE_TRIGGER,2023-11-27 08:00:00,2023-11-27 11:59:59.999,7,CORE004,PW038
LC004,CORE_TRIGGER,2023-11-27 12:00:00,2023-11-27 15:59:59.999,8,CORE005,PW039
LC004,CORE_TRIGGER,2023-11-27 16:00:00,2023-11-27 19:59:59.999,9,CORE006,PW040
LC004,CORE_TRIGGER,2023-11-27 20:00:00,2023-11-27 23:59:59.999,10,CORE007,PW041
LC004,CORE_TRIGGER,2023-11-28 00:00:00,2023-11-28 03:59:59.999,11,CORE008,PW042
LC004,CORE_TRIGGER,2023-11-28 04:00:00,2023-11-28 07:59:59.999,12,CORE009,PW043
LC004,CORE_TRIGGER,2023-11-28 08:00:00,2023-11-28 11:59:59.999,13,CORE010,PW044
LC004,CORE_TRIGGER,2023-11-28 12:00:00,2023-11-28 15:59:59.999,14,CORE011,PW045
LC004,CORE_TRIGGER,2023-11-29 12:00:00,2023-11-29 15:59:59.999,15,CORE012,PW046
LC004,CORE_TRIGGER,2023-11-29 20:00:00,2023-11-29 23:59:59.999,16,CORE013,PW047
LC004,CORE_TRIGGER,2023-11-30 00:00:00,2023-11-30 03:59:59.999,17,CORE014,PW048
LC004,CORE_TRIGGER,2023-11-30 04:00:00,2023-11-30 07:59:59.999,18,CORE015,PW049
LC004,CORE_TRIGGER,2023-11-30 08:00:00,2023-11-30 11:59:59.999,19,CORE016,PW050
LC004,CORE_TRIGGER,2023-11-30 12:00:00,2023-11-30 15:59:59.999,20,CORE017,PW051
LC004,CORE_TRIGGER,2023-11-30 16:00:00,2023-11-30 19:59:59.999,21,CORE018,PW052
LC004,CORE_TRIGGER,2023-11-30 20:00:00,2023-11-30 23:59:59.999,22,CORE019,PW053
LC004,CORE_TRIGGER,2023-12-01 00:00:00,2023-12-01 03:59:59.999,23,CORE020,PW054
LC004,CORE_TRIGGER,2023-12-01 04:00:00,2023-12-01 07:59:59.999,24,CORE021,PW055
LC004,RESOLUTION_CANDIDATE,2023-12-01 16:00:00,2023-12-01 19:59:59.999,25,,RECOVERED_LONG
LC004,DISPUTE_END,2023-12-02 04:00:00,2023-12-02 07:59:59.999,26,,RECOVERED_LONG
LC005,LAST_ALIGNED_RUN_START,2023-12-05 12:00:00,2023-12-05 15:59:59.999,1,,
LC005,LAST_ALIGNED_RUN_END,2023-12-10 20:00:00,2023-12-10 23:59:59.999,2,,
LC005,DISPUTE_START,2023-12-11 00:00:00,2023-12-11 03:59:59.999,3,,
LC005,CORE_TRIGGER,2023-12-11 16:00:00,2023-12-11 19:59:59.999,4,CORE001,PW056
LC005,RESOLUTION_CANDIDATE,2023-12-12 04:00:00,2023-12-12 07:59:59.999,5,,RECOVERED_LONG
LC005,DISPUTE_END,2023-12-12 12:00:00,2023-12-12 15:59:59.999,6,,RECOVERED_LONG
LC006,LAST_ALIGNED_RUN_START,2023-12-13 08:00:00,2023-12-13 11:59:59.999,1,,
LC006,LAST_ALIGNED_RUN_END,2023-12-15 08:00:00,2023-12-15 11:59:59.999,2,,
LC006,DISPUTE_START,2023-12-15 12:00:00,2023-12-15 15:59:59.999,3,,
LC006,CORE_TRIGGER,2023-12-15 20:00:00,2023-12-15 23:59:59.999,4,CORE001,PW057
LC006,CORE_TRIGGER,2023-12-16 20:00:00,2023-12-16 23:59:59.999,5,CORE002,PW058
LC006,CORE_TRIGGER,2023-12-17 04:00:00,2023-12-17 07:59:59.999,6,CORE003,PW059
LC006,CORE_TRIGGER,2023-12-17 08:00:00,2023-12-17 11:59:59.999,7,CORE004,PW060
LC006,CORE_TRIGGER,2023-12-17 12:00:00,2023-12-17 15:59:59.999,8,CORE005,PW061
LC006,CORE_TRIGGER,2023-12-17 16:00:00,2023-12-17 19:59:59.999,9,CORE006,PW062
LC006,CORE_TRIGGER,2023-12-17 20:00:00,2023-12-17 23:59:59.999,10,CORE007,PW063
LC006,CORE_TRIGGER,2023-12-18 00:00:00,2023-12-18 03:59:59.999,11,CORE008,PW064
LC006,CORE_TRIGGER,2023-12-18 04:00:00,2023-12-18 07:59:59.999,12,CORE009,PW065
LC006,CORE_TRIGGER,2023-12-18 08:00:00,2023-12-18 11:59:59.999,13,CORE010,PW066
LC006,CORE_TRIGGER,2023-12-18 12:00:00,2023-12-18 15:59:59.999,14,CORE011,PW067
LC006,CORE_TRIGGER,2023-12-18 16:00:00,2023-12-18 19:59:59.999,15,CORE012,PW068
LC006,CORE_TRIGGER,2023-12-19 12:00:00,2023-12-19 15:59:59.999,16,CORE013,PW069
LC006,CORE_TRIGGER,2023-12-19 16:00:00,2023-12-19 19:59:59.999,17,CORE014,PW070
LC006,CORE_TRIGGER,2023-12-19 20:00:00,2023-12-19 23:59:59.999,18,CORE015,PW071
LC006,CORE_TRIGGER,2023-12-20 00:00:00,2023-12-20 03:59:59.999,19,CORE016,PW072
LC006,CORE_TRIGGER,2023-12-20 04:00:00,2023-12-20 07:59:59.999,20,CORE017,PW073
LC006,CORE_TRIGGER,2023-12-20 08:00:00,2023-12-20 11:59:59.999,21,CORE018,PW074
LC006,CORE_TRIGGER,2023-12-20 20:00:00,2023-12-20 23:59:59.999,22,CORE019,PW075
LC006,RESOLUTION_CANDIDATE,2023-12-21 08:00:00,2023-12-21 11:59:59.999,23,,RECOVERED_LONG
LC006,DISPUTE_END,2023-12-21 20:00:00,2023-12-21 23:59:59.999,24,,RECOVERED_LONG
LC007,LAST_ALIGNED_RUN_START,2023-12-22 08:00:00,2023-12-22 11:59:59.999,1,,
LC007,LAST_ALIGNED_RUN_END,2023-12-22 20:00:00,2023-12-22 23:59:59.999,2,,
LC007,DISPUTE_START,2023-12-23 00:00:00,2023-12-23 03:59:59.999,3,,
LC007,CORE_TRIGGER,2023-12-23 04:00:00,2023-12-23 07:59:59.999,4,CORE001,PW076
LC007,CORE_TRIGGER,2023-12-23 08:00:00,2023-12-23 11:59:59.999,5,CORE002,PW077
LC007,CORE_TRIGGER,2023-12-23 12:00:00,2023-12-23 15:59:59.999,6,CORE003,PW078
LC007,CORE_TRIGGER,2023-12-23 16:00:00,2023-12-23 19:59:59.999,7,CORE004,PW079
LC007,CORE_TRIGGER,2023-12-24 20:00:00,2023-12-24 23:59:59.999,8,CORE005,PW080
LC007,CORE_TRIGGER,2023-12-25 00:00:00,2023-12-25 03:59:59.999,9,CORE006,PW081
LC007,CORE_TRIGGER,2023-12-25 04:00:00,2023-12-25 07:59:59.999,10,CORE007,PW082
LC007,CORE_TRIGGER,2023-12-25 08:00:00,2023-12-25 11:59:59.999,11,CORE008,PW083
LC007,CORE_TRIGGER,2023-12-26 12:00:00,2023-12-26 15:59:59.999,12,CORE009,PW084
LC007,CORE_TRIGGER,2023-12-26 16:00:00,2023-12-26 19:59:59.999,13,CORE010,PW085
LC007,CORE_TRIGGER,2023-12-27 00:00:00,2023-12-27 03:59:59.999,14,CORE011,PW086
LC007,CORE_TRIGGER,2023-12-27 04:00:00,2023-12-27 07:59:59.999,15,CORE012,PW087
LC007,CORE_TRIGGER,2023-12-28 20:00:00,2023-12-28 23:59:59.999,16,CORE013,PW088
LC007,CORE_TRIGGER,2023-12-29 00:00:00,2023-12-29 03:59:59.999,17,CORE014,PW089
LC007,CORE_TRIGGER,2023-12-29 04:00:00,2023-12-29 07:59:59.999,18,CORE015,PW090
LC007,CORE_TRIGGER,2023-12-29 12:00:00,2023-12-29 15:59:59.999,19,CORE016,PW091
LC007,CORE_TRIGGER,2023-12-29 16:00:00,2023-12-29 19:59:59.999,20,CORE017,PW092
LC007,CORE_TRIGGER,2023-12-29 20:00:00,2023-12-29 23:59:59.999,21,CORE018,PW093
LC007,CORE_TRIGGER,2023-12-30 00:00:00,2023-12-30 03:59:59.999,22,CORE019,PW094
LC007,CORE_TRIGGER,2023-12-30 04:00:00,2023-12-30 07:59:59.999,23,CORE020,PW095
LC007,CORE_TRIGGER,2023-12-30 08:00:00,2023-12-30 11:59:59.999,24,CORE021,PW096
LC007,CORE_TRIGGER,2023-12-30 12:00:00,2023-12-30 15:59:59.999,25,CORE022,PW097
LC007,CORE_TRIGGER,2023-12-30 16:00:00,2023-12-30 19:59:59.999,26,CORE023,PW098
LC007,CORE_TRIGGER,2023-12-30 20:00:00,2023-12-30 23:59:59.999,27,CORE024,PW099
LC007,CORE_TRIGGER,2023-12-31 00:00:00,2023-12-31 03:59:59.999,28,CORE025,PW100
LC007,CORE_TRIGGER,2023-12-31 04:00:00,2023-12-31 07:59:59.999,29,CORE026,PW101
LC007,CORE_TRIGGER,2023-12-31 08:00:00,2023-12-31 11:59:59.999,30,CORE027,PW102
LC007,CORE_TRIGGER,2023-12-31 12:00:00,2023-12-31 15:59:59.999,31,CORE028,PW103
LC007,CORE_TRIGGER,2023-12-31 16:00:00,2023-12-31 19:59:59.999,32,CORE029,PW104
LC007,CORE_TRIGGER,2023-12-31 20:00:00,2023-12-31 23:59:59.999,33,CORE030,PW105
LC007,CORE_TRIGGER,2024-01-01 00:00:00,2024-01-01 03:59:59.999,34,CORE031,PW106
LC007,CORE_TRIGGER,2024-01-01 04:00:00,2024-01-01 07:59:59.999,35,CORE032,PW107
LC007,CORE_TRIGGER,2024-01-01 08:00:00,2024-01-01 11:59:59.999,36,CORE033,PW108
LC007,CORE_TRIGGER,2024-01-01 12:00:00,2024-01-01 15:59:59.999,37,CORE034,PW109
LC007,CORE_TRIGGER,2024-01-02 20:00:00,2024-01-02 23:59:59.999,38,CORE035,PW110
LC007,CORE_TRIGGER,2024-01-03 00:00:00,2024-01-03 03:59:59.999,39,CORE036,PW111
LC007,CORE_TRIGGER,2024-01-03 04:00:00,2024-01-03 07:59:59.999,40,CORE037,PW112
LC007,CORE_TRIGGER,2024-01-03 08:00:00,2024-01-03 11:59:59.999,41,CORE038,PW113
LC007,CORE_TRIGGER,2024-01-03 12:00:00,2024-01-03 15:59:59.999,42,CORE039,PW114
LC007,CORE_TRIGGER,2024-01-03 16:00:00,2024-01-03 19:59:59.999,43,CORE040,PW115
LC007,CORE_TRIGGER,2024-01-03 20:00:00,2024-01-03 23:59:59.999,44,CORE041,PW116
LC007,CORE_TRIGGER,2024-01-04 00:00:00,2024-01-04 03:59:59.999,45,CORE042,PW117
LC007,CORE_TRIGGER,2024-01-04 04:00:00,2024-01-04 07:59:59.999,46,CORE043,PW118
LC007,CORE_TRIGGER,2024-01-04 12:00:00,2024-01-04 15:59:59.999,47,CORE044,PW119
LC007,CORE_TRIGGER,2024-01-04 16:00:00,2024-01-04 19:59:59.999,48,CORE045,PW120
LC007,CORE_TRIGGER,2024-01-04 20:00:00,2024-01-04 23:59:59.999,49,CORE046,PW121
LC007,CORE_TRIGGER,2024-01-05 00:00:00,2024-01-05 03:59:59.999,50,CORE047,PW122
LC007,CORE_TRIGGER,2024-01-05 04:00:00,2024-01-05 07:59:59.999,51,CORE048,PW123
LC007,CORE_TRIGGER,2024-01-05 08:00:00,2024-01-05 11:59:59.999,52,CORE049,PW124
LC007,EMA_CROSS,2024-01-06 16:00:00,2024-01-06 19:59:59.999,53,,
LC007,RESOLUTION_CANDIDATE,2024-01-06 16:00:00,2024-01-06 19:59:59.999,54,,NEW_DOWN_CONFIGURATION
LC007,DISPUTE_END,2024-01-07 00:00:00,2024-01-07 03:59:59.999,55,,NEW_DOWN_CONFIGURATION
