section_id,episode_id,event_type,event_open_time,event_close_time,details
LC002,EP002,CORE_TRIGGER,2023-11-17 04:00:00,2023-11-17 07:59:59,CORE014
LC002,EP002,CORE_TRIGGER,2023-11-17 12:00:00,2023-11-17 15:59:59,CORE015
LC002,EP002,CORE_TRIGGER,2023-11-17 16:00:00,2023-11-17 19:59:59,CORE016
LC002,EP002,CORE_TRIGGER,2023-11-17 20:00:00,2023-11-17 23:59:59,CORE017
LC002,EP002,CORE_TRIGGER,2023-11-18 00:00:00,2023-11-18 03:59:59,CORE018
LC002,EP002,CORE_TRIGGER,2023-11-18 04:00:00,2023-11-18 07:59:59,CORE019
LC002,EP002,CORE_TRIGGER,2023-11-18 08:00:00,2023-11-18 11:59:59,CORE020
LC002,EP002,CORE_TRIGGER,2023-11-18 12:00:00,2023-11-18 15:59:59,CORE021
LC002,EP002,RECOVERY_ATTEMPT,2023-11-19 12:00:00,2023-11-19 15:59:59,R002
LC002,EP002,FAILED_RECOVERY,2023-11-21 12:00:00,2023-11-21 15:59:59,CORE_TRIGGER
LC002,EP003,EPISODE_START,2023-11-21 12:00:00,2023-11-21 15:59:59,CORE_TRIGGER
LC002,EP003,CORE_TRIGGER,2023-11-21 12:00:00,2023-11-21 15:59:59,CORE022
LC002,EP003,CORE_TRIGGER,2023-11-21 16:00:00,2023-11-21 19:59:59,CORE023
LC002,EP003,CORE_TRIGGER,2023-11-21 20:00:00,2023-11-21 23:59:59,CORE024
LC002,EP003,CORE_TRIGGER,2023-11-22 00:00:00,2023-11-22 03:59:59,CORE025
LC002,EP003,CORE_TRIGGER,2023-11-22 04:00:00,2023-11-22 07:59:59,CORE026
LC002,EP003,CORE_TRIGGER,2023-11-22 08:00:00,2023-11-22 11:59:59,CORE027
LC002,EP003,CORE_TRIGGER,2023-11-22 12:00:00,2023-11-22 15:59:59,CORE028
LC002,EP003,RECOVERY_ATTEMPT,2023-11-22 20:00:00,2023-11-22 23:59:59,R003
LC002,EP003,FAILED_RECOVERY,2023-11-26 16:00:00,2023-11-26 19:59:59,CORE_TRIGGER
LC002,EP004,EPISODE_START,2023-11-26 16:00:00,2023-11-26 19:59:59,CORE_TRIGGER
LC002,EP004,CORE_TRIGGER,2023-11-26 16:00:00,2023-11-26 19:59:59,CORE029
LC002,EP004,CORE_TRIGGER,2023-11-27 00:00:00,2023-11-27 03:59:59,CORE030
LC002,EP004,CORE_TRIGGER,2023-11-27 04:00:00,2023-11-27 07:59:59,CORE031
LC002,EP004,CORE_TRIGGER,2023-11-27 08:00:00,2023-11-27 11:59:59,CORE032
LC002,EP004,CORE_TRIGGER,2023-11-27 12:00:00,2023-11-27 15:59:59,CORE033
LC002,EP004,CORE_TRIGGER,2023-11-27 16:00:00,2023-11-27 19:59:59,CORE034
LC002,EP004,CORE_TRIGGER,2023-11-27 20:00:00,2023-11-27 23:59:59,CORE035
LC002,EP004,CORE_TRIGGER,2023-11-28 00:00:00,2023-11-28 03:59:59,CORE036
LC002,EP004,CORE_TRIGGER,2023-11-28 04:00:00,2023-11-28 07:59:59,CORE037
LC002,EP004,CORE_TRIGGER,2023-11-28 08:00:00,2023-11-28 11:59:59,CORE038
LC002,EP004,CORE_TRIGGER,2023-11-28 12:00:00,2023-11-28 15:59:59,CORE039
LC002,EP004,CORE_TRIGGER,2023-11-29 12:00:00,2023-11-29 15:59:59,CORE040
LC002,EP004,CORE_TRIGGER,2023-11-29 20:00:00,2023-11-29 23:59:59,CORE041
LC002,EP004,CORE_TRIGGER,2023-11-30 00:00:00,2023-11-30 03:59:59,CORE042
LC002,EP004,CORE_TRIGGER,2023-11-30 04:00:00,2023-11-30 07:59:59,CORE043
LC002,EP004,CORE_TRIGGER,2023-11-30 08:00:00,2023-11-30 11:59:59,CORE044
LC002,EP004,CORE_TRIGGER,2023-11-30 12:00:00,2023-11-30 15:59:59,CORE045
LC002,EP004,CORE_TRIGGER,2023-11-30 16:00:00,2023-11-30 19:59:59,CORE046
LC002,EP004,CORE_TRIGGER,2023-11-30 20:00:00,2023-11-30 23:59:59,CORE047
LC002,EP004,CORE_TRIGGER,2023-12-01 00:00:00,2023-12-01 03:59:59,CORE048
LC002,EP004,CORE_TRIGGER,2023-12-01 04:00:00,2023-12-01 07:59:59,CORE049
LC002,EP004,RECOVERY_ATTEMPT,2023-12-01 16:00:00,2023-12-01 19:59:59,R004
LC002,EP004,EFFECTIVE_EXIT,2023-12-01 16:00:00,2023-12-01 19:59:59,CONFIRMED_RECOVERED_LONG
LC002,EP004,EXIT_CONFIRMATION,2023-12-06 04:00:00,2023-12-06 07:59:59,CONFIRMED_RECOVERED_LONG
LC003,EP001,DISPUTE_START,2023-12-11 00:00:00,2023-12-11 03:59:59,
LC003,EP001,EPISODE_START,2023-12-11 00:00:00,2023-12-11 03:59:59,
LC003,EP001,CORE_TRIGGER,2023-12-11 16:00:00,2023-12-11 19:59:59,CORE001
LC003,EP001,RECOVERY_ATTEMPT,2023-12-12 04:00:00,2023-12-12 07:59:59,R001
LC003,EP001,FAILED_RECOVERY,2023-12-15 20:00:00,2023-12-15 23:59:59,CORE_TRIGGER
LC003,EP002,EPISODE_START,2023-12-15 20:00:00,2023-12-15 23:59:59,CORE_TRIGGER
LC003,EP002,CORE_TRIGGER,2023-12-15 20:00:00,2023-12-15 23:59:59,CORE002
LC003,EP002,CORE_TRIGGER,2023-12-16 20:00:00,2023-12-16 23:59:59,CORE003
LC003,EP002,CORE_TRIGGER,2023-12-17 04:00:00,2023-12-17 07:59:59,CORE004
LC003,EP002,CORE_TRIGGER,2023-12-17 08:00:00,2023-12-17 11:59:59,CORE005
LC003,EP002,CORE_TRIGGER,2023-12-17 12:00:00,2023-12-17 15:59:59,CORE006
LC003,EP002,CORE_TRIGGER,2023-12-17 16:00:00,2023-12-17 19:59:59,CORE007
LC003,EP002,CORE_TRIGGER,2023-12-17 20:00:00,2023-12-17 23:59:59,CORE008
LC003,EP002,CORE_TRIGGER,2023-12-18 00:00:00,2023-12-18 03:59:59,CORE009
LC003,EP002,CORE_TRIGGER,2023-12-18 04:00:00,2023-12-18 07:59:59,CORE010
LC003,EP002,CORE_TRIGGER,2023-12-18 08:00:00,2023-12-18 11:59:59,CORE011
LC003,EP002,CORE_TRIGGER,2023-12-18 12:00:00,2023-12-18 15:59:59,CORE012
LC003,EP002,CORE_TRIGGER,2023-12-18 16:00:00,2023-12-18 19:59:59,CORE013
LC003,EP002,CORE_TRIGGER,2023-12-19 12:00:00,2023-12-19 15:59:59,CORE014
LC003,EP002,CORE_TRIGGER,2023-12-19 16:00:00,2023-12-19 19:59:59,CORE015
LC003,EP002,CORE_TRIGGER,2023-12-19 20:00:00,2023-12-19 23:59:59,CORE016
LC003,EP002,CORE_TRIGGER,2023-12-20 00:00:00,2023-12-20 03:59:59,CORE017
LC003,EP002,CORE_TRIGGER,2023-12-20 04:00:00,2023-12-20 07:59:59,CORE018
LC003,EP002,CORE_TRIGGER,2023-12-20 08:00:00,2023-12-20 11:59:59,CORE019
LC003,EP002,CORE_TRIGGER,2023-12-20 20:00:00,2023-12-20 23:59:59,CORE020
LC003,EP002,RECOVERY_ATTEMPT,2023-12-21 08:00:00,2023-12-21 11:59:59,R002
LC003,EP002,FAILED_RECOVERY,2023-12-23 04:00:00,2023-12-23 07:59:59,CORE_TRIGGER
LC003,EP003,EPISODE_START,2023-12-23 04:00:00,2023-12-23 07:59:59,CORE_TRIGGER
LC003,EP003,CORE_TRIGGER,2023-12-23 04:00:00,2023-12-23 07:59:59,CORE021
LC003,EP003,CORE_TRIGGER,2023-12-23 08:00:00,2023-12-23 11:59:59,CORE022
LC003,EP003,CORE_TRIGGER,2023-12-23 12:00:00,2023-12-23 15:59:59,CORE023
LC003,EP003,CORE_TRIGGER,2023-12-23 16:00:00,2023-12-23 19:59:59,CORE024
LC003,EP003,CORE_TRIGGER,2023-12-24 20:00:00,2023-12-24 23:59:59,CORE025
LC003,EP003,CORE_TRIGGER,2023-12-25 00:00:00,2023-12-25 03:59:59,CORE026
LC003,EP003,CORE_TRIGGER,2023-12-25 04:00:00,2023-12-25 07:59:59,CORE027
LC003,EP003,CORE_TRIGGER,2023-12-25 08:00:00,2023-12-25 11:59:59,CORE028
LC003,EP003,CORE_TRIGGER,2023-12-26 12:00:00,2023-12-26 15:59:59,CORE029
LC003,EP003,CORE_TRIGGER,2023-12-26 16:00:00,2023-12-26 19:59:59,CORE030
LC003,EP003,CORE_TRIGGER,2023-12-27 00:00:00,2023-12-27 03:59:59,CORE031
LC003,EP003,CORE_TRIGGER,2023-12-27 04:00:00,2023-12-27 07:59:59,CORE032
LC003,EP003,RECOVERY_ATTEMPT,2023-12-27 12:00:00,2023-12-27 15:59:59,R003
LC003,EP003,FAILED_RECOVERY,2023-12-28 20:00:00,2023-12-28 23:59:59,CORE_TRIGGER
LC003,EP004,EPISODE_START,2023-12-28 20:00:00,2023-12-28 23:59:59,CORE_TRIGGER
LC003,EP004,CORE_TRIGGER,2023-12-28 20:00:00,2023-12-28 23:59:59,CORE033
LC003,EP004,CORE_TRIGGER,2023-12-29 00:00:00,2023-12-29 03:59:59,CORE034
LC003,EP004,CORE_TRIGGER,2023-12-29 04:00:00,2023-12-29 07:59:59,CORE035
LC003,EP004,CORE_TRIGGER,2023-12-29 12:00:00,2023-12-29 15:59:59,CORE036
LC003,EP004,CORE_TRIGGER,2023-12-29 16:00:00,2023-12-29 19:59:59,CORE037
LC003,EP004,CORE_TRIGGER,2023-12-29 20:00:00,2023-12-29 23:59:59,CORE038
LC003,EP004,CORE_TRIGGER,2023-12-30 00:00:00,2023-12-30 03:59:59,CORE039
LC003,EP004,CORE_TRIGGER,2023-12-30 04:00:00,2023-12-30 07:59:59,CORE040
LC003,EP004,CORE_TRIGGER,2023-12-30 08:00:00,2023-12-30 11:59:59,CORE041
LC003,EP004,CORE_TRIGGER,2023-12-30 12:00:00,2023-12-30 15:59:59,CORE042
LC003,EP004,CORE_TRIGGER,2023-12-30 16:00:00,2023-12-30 19:59:59,CORE043
LC003,EP004,CORE_TRIGGER,2023-12-30 20:00:00,2023-12-30 23:59:59,CORE044
LC003,EP004,CORE_TRIGGER,2023-12-31 00:00:00,2023-12-31 03:59:59,CORE045
LC003,EP004,CORE_TRIGGER,2023-12-31 04:00:00,2023-12-31 07:59:59,CORE046
LC003,EP004,CORE_TRIGGER,2023-12-31 08:00:00,2023-12-31 11:59:59,CORE047
LC003,EP004,CORE_TRIGGER,2023-12-31 12:00:00,2023-12-31 15:59:59,CORE048
LC003,EP004,CORE_TRIGGER,2023-12-31 16:00:00,2023-12-31 19:59:59,CORE049
LC003,EP004,CORE_TRIGGER,2023-12-31 20:00:00,2023-12-31 23:59:59,CORE050
LC003,EP004,CORE_TRIGGER,2024-01-01 00:00:00,2024-01-01 03:59:59,CORE051
LC003,EP004,CORE_TRIGGER,2024-01-01 04:00:00,2024-01-01 07:59:59,CORE052
LC003,EP004,CORE_TRIGGER,2024-01-01 08:00:00,2024-01-01 11:59:59,CORE053
LC003,EP004,CORE_TRIGGER,2024-01-01 12:00:00,2024-01-01 15:59:59,CORE054
LC003,EP004,RECOVERY_ATTEMPT,2024-01-01 16:00:00,2024-01-01 19:59:59,R004
LC003,EP004,FAILED_RECOVERY,2024-01-02 20:00:00,2024-01-02 23:59:59,CORE_TRIGGER
LC003,EP005,EPISODE_START,2024-01-02 20:00:00,2024-01-02 23:59:59,CORE_TRIGGER
LC003,EP005,CORE_TRIGGER,2024-01-02 20:00:00,2024-01-02 23:59:59,CORE055
LC003,EP005,CORE_TRIGGER,2024-01-03 00:00:00,2024-01-03 03:59:59,CORE056
LC003,EP005,CORE_TRIGGER,2024-01-03 04:00:00,2024-01-03 07:59:59,CORE057
LC003,EP005,CORE_TRIGGER,2024-01-03 08:00:00,2024-01-03 11:59:59,CORE058
LC003,EP005,CORE_TRIGGER,2024-01-03 12:00:00,2024-01-03 15:59:59,CORE059
LC003,EP005,CORE_TRIGGER,2024-01-03 16:00:00,2024-01-03 19:59:59,CORE060
LC003,EP005,CORE_TRIGGER,2024-01-03 20:00:00,2024-01-03 23:59:59,CORE061
LC003,EP005,CORE_TRIGGER,2024-01-04 00:00:00,2024-01-04 03:59:59,CORE062
LC003,EP005,CORE_TRIGGER,2024-01-04 04:00:00,2024-01-04 07:59:59,CORE063
LC003,EP005,CORE_TRIGGER,2024-01-04 12:00:00,2024-01-04 15:59:59,CORE064
LC003,EP005,CORE_TRIGGER,2024-01-04 16:00:00,2024-01-04 19:59:59,CORE065
LC003,EP005,CORE_TRIGGER,2024-01-04 20:00:00,2024-01-04 23:59:59,CORE066
LC003,EP005,CORE_TRIGGER,2024-01-05 00:00:00,2024-01-05 03:59:59,CORE067
LC003,EP005,CORE_TRIGGER,2024-01-05 04:00:00,2024-01-05 07:59:59,CORE068
LC003,EP005,CORE_TRIGGER,2024-01-05 08:00:00,2024-01-05 11:59:59,CORE069
LC003,EP005,EMA_CROSS,2024-01-06 16:00:00,2024-01-06 19:59:59,
LC003,EP005,NEW_CONFIGURATION_ATTEMPT,2024-01-06 16:00:00,2024-01-06 19:59:59,N001
LC003,EP005,EFFECTIVE_EXIT,2024-01-06 16:00:00,2024-01-06 19:59:59,CONFIRMED_NEW_DOWN_CONFIGURATION
LC003,EP005,EXIT_CONFIRMATION,2024-01-08 08:00:00,2024-01-08 11:59:59,CONFIRMED_NEW_DOWN_CONFIGURATION
