move_id,zone,start_time,end_time,duration_bars,zone_note
M01,ZONE_0_BEFORE_MOVE,2023-10-16 00:00:00,2023-10-18 20:00:00,18,retrospective training label; not live detector
M05,ZONE_3_EARLY_CONTINUATION,2024-02-25 20:00:00,2024-03-02 08:00:00,34,retrospective training label; not live detector
M05,ZONE_4_MATURE_MOVE,2024-03-02 12:00:00,2024-03-08 00:00:00,34,retrospective training label; not live detector
M05,ZONE_5_LATE_MOVE,2024-03-08 04:00:00,2024-03-11 12:00:00,21,retrospective training label; not live detector
M05,ZONE_6_EXHAUSTION_OR_CHOP,2024-03-11 16:00:00,2024-03-14 08:00:00,17,retrospective training label; not live detector
M06,ZONE_0_BEFORE_MOVE,2024-03-13 08:00:00,2024-03-14 04:00:00,6,retrospective training label; not live detector
M06,ZONE_1_BIRTH,2024-03-14 08:00:00,2024-03-14 20:00:00,4,retrospective training label; not live detector
M06,ZONE_2_FIRST_PULLBACK,2024-03-14 20:00:00,2024-03-15 00:00:00,2,retrospective training label; not live detector
M06,ZONE_3_EARLY_CONTINUATION,2024-03-15 04:00:00,2024-03-16 08:00:00,8,retrospective training label; not live detector
M06,ZONE_4_MATURE_MOVE,2024-03-16 12:00:00,2024-03-18 00:00:00,10,retrospective training label; not live detector
M06,ZONE_5_LATE_MOVE,2024-03-18 04:00:00,2024-03-19 00:00:00,6,retrospective training label; not live detector
M06,ZONE_6_EXHAUSTION_OR_CHOP,2024-03-19 04:00:00,2024-03-19 20:00:00,5,retrospective training label; not live detector
M07,ZONE_0_BEFORE_MOVE,2024-04-07 16:00:00,2024-04-08 12:00:00,6,retrospective training label; not live detector
M07,ZONE_1_BIRTH,2024-04-08 16:00:00,2024-04-09 08:00:00,5,retrospective training label; not live detector
M07,ZONE_2_FIRST_PULLBACK,2024-04-09 08:00:00,2024-04-09 12:00:00,2,retrospective training label; not live detector
M07,ZONE_3_EARLY_CONTINUATION,2024-04-09 16:00:00,2024-04-12 00:00:00,15,retrospective training label; not live detector
M07,ZONE_4_MATURE_MOVE,2024-04-12 04:00:00,2024-04-14 16:00:00,16,retrospective training label; not live detector
M07,ZONE_5_LATE_MOVE,2024-04-14 20:00:00,2024-04-16 04:00:00,9,retrospective training label; not live detector
M07,ZONE_6_EXHAUSTION_OR_CHOP,2024-04-16 08:00:00,2024-04-17 12:00:00,8,retrospective training label; not live detector
M08,ZONE_0_BEFORE_MOVE,2024-05-17 20:00:00,2024-05-20 16:00:00,18,retrospective training label; not live detector
M08,ZONE_1_BIRTH,2024-05-20 20:00:00,2024-05-21 04:00:00,3,retrospective training label; not live detector
M08,ZONE_2_FIRST_PULLBACK,2024-05-21 04:00:00,2024-05-21 12:00:00,3,retrospective training label; not live detector
M08,ZONE_3_EARLY_CONTINUATION,2024-05-21 16:00:00,2024-06-03 00:00:00,75,retrospective training label; not live detector
M08,ZONE_4_MATURE_MOVE,2024-06-03 04:00:00,2024-06-13 12:00:00,63,retrospective training label; not live detector
M08,ZONE_5_LATE_MOVE,2024-06-13 16:00:00,2024-06-19 16:00:00,37,retrospective training label; not live detector
M08,ZONE_6_EXHAUSTION_OR_CHOP,2024-06-19 20:00:00,2024-06-24 16:00:00,30,retrospective training label; not live detector
M09,ZONE_0_BEFORE_MOVE,2024-07-03 16:00:00,2024-07-04 20:00:00,8,retrospective training label; not live detector
M09,ZONE_1_BIRTH,2024-07-05 00:00:00,2024-07-05 16:00:00,5,retrospective training label; not live detector
M09,ZONE_2_FIRST_PULLBACK,2024-07-05 16:00:00,2024-07-06 00:00:00,3,retrospective training label; not live detector
M09,ZONE_3_EARLY_CONTINUATION,2024-07-06 04:00:00,2024-07-09 04:00:00,19,retrospective training label; not live detector
M09,ZONE_4_MATURE_MOVE,2024-07-09 08:00:00,2024-07-12 08:00:00,19,retrospective training label; not live detector
M09,ZONE_5_LATE_MOVE,2024-07-12 12:00:00,2024-07-14 08:00:00,12,retrospective training label; not live detector
M09,ZONE_6_EXHAUSTION_OR_CHOP,2024-07-14 12:00:00,2024-07-16 00:00:00,10,retrospective training label; not live detector
M10,ZONE_0_BEFORE_MOVE,2024-07-13 12:00:00,2024-07-15 20:00:00,15,retrospective training label; not live detector
M10,ZONE_1_BIRTH,2024-07-16 00:00:00,2024-07-16 08:00:00,3,retrospective training label; not live detector
M10,ZONE_2_FIRST_PULLBACK,2024-07-16 08:00:00,2024-07-16 16:00:00,3,retrospective training label; not live detector
M10,ZONE_3_EARLY_CONTINUATION,2024-07-16 20:00:00,2024-07-23 16:00:00,42,retrospective training label; not live detector
M10,ZONE_4_MATURE_MOVE,2024-07-23 20:00:00,2024-07-29 16:00:00,36,retrospective training label; not live detector
M10,ZONE_5_LATE_MOVE,2024-07-29 20:00:00,2024-08-02 08:00:00,22,retrospective training label; not live detector
M10,ZONE_6_EXHAUSTION_OR_CHOP,2024-08-02 12:00:00,2024-08-05 08:00:00,18,retrospective training label; not live detector
M11,ZONE_0_BEFORE_MOVE,2024-10-23 12:00:00,2024-10-26 08:00:00,18,retrospective training label; not live detector
M11,ZONE_1_BIRTH,2024-10-26 12:00:00,2024-10-27 04:00:00,5,retrospective training label; not live detector
M11,ZONE_2_FIRST_PULLBACK,2024-10-27 04:00:00,2024-10-27 08:00:00,2,retrospective training label; not live detector
M11,ZONE_3_EARLY_CONTINUATION,2024-10-27 12:00:00,2024-11-09 16:00:00,80,retrospective training label; not live detector
M11,ZONE_4_MATURE_MOVE,2024-11-09 20:00:00,2024-11-21 00:00:00,68,retrospective training label; not live detector
M11,ZONE_5_LATE_MOVE,2024-11-21 04:00:00,2024-11-27 16:00:00,40,retrospective training label; not live detector
M11,ZONE_6_EXHAUSTION_OR_CHOP,2024-11-27 20:00:00,2024-12-03 00:00:00,32,retrospective training label; not live detector
M12,ZONE_0_BEFORE_MOVE,2024-11-30 20:00:00,2024-12-02 20:00:00,13,retrospective training label; not live detector
M12,ZONE_1_BIRTH,2024-12-03 00:00:00,2024-12-03 08:00:00,3,retrospective training label; not live detector
M12,ZONE_2_FIRST_PULLBACK,2024-12-03 08:00:00,2024-12-03 12:00:00,2,retrospective training label; not live detector
M12,ZONE_3_EARLY_CONTINUATION,2024-12-03 16:00:00,2024-12-09 12:00:00,36,retrospective training label; not live detector
M12,ZONE_4_MATURE_MOVE,2024-12-09 16:00:00,2024-12-14 16:00:00,31,retrospective training label; not live detector
M12,ZONE_5_LATE_MOVE,2024-12-14 20:00:00,2024-12-17 20:00:00,19,retrospective training label; not live detector
M12,ZONE_6_EXHAUSTION_OR_CHOP,2024-12-18 00:00:00,2024-12-20 08:00:00,15,retrospective training label; not live detector
